pseudo_id,team_id,seniority,timezone
2d0d12bb-61b3-48e1-8122-c1ee989c2488,ENGINEERING,SENIOR,UTC+5:30
edb01a02-23b8-46a2-a0b4-52b6ca2f36a0,ENGINEERING,SENIOR,UTC+0
87ab5142-0dfd-4380-a576-a517ee96a85c,ENGINEERING,MID,UTC+5:30
f16bb118-c6c0-4be8-9f6d-1cc208f96cd8,ENGINEERING,SENIOR,UTC+5:30
bbab1936-7029-46b2-bfe6-3769131d54d4,ENGINEERING,MID,UTC+5:30
e3bcb470-dce8-4ea4-9f1b-ed9009bc4202,ENGINEERING,JUNIOR,UTC+0
67e6f944-b22c-40a0-9711-cce0423720d1,ENGINEERING,MID,UTC+5:30
b2fde3be-2817-4052-a2f6-6407c24db0dd,ENGINEERING,MID,UTC-8
f9aafeb2-0c24-4f56-ab66-962e425297c1,ENGINEERING,MID,UTC-5
ab7263fd-e6da-45a2-8471-49f30496800c,ENGINEERING,SENIOR,UTC+5:30
17787073-df12-4482-86ae-7123b669c347,ENGINEERING,SENIOR,UTC+0
d090ae82-aafb-496e-9eb9-5111490752f9,ENGINEERING,SENIOR,UTC-5
5af7ebb3-6f71-4fc9-9e83-a48ad9e75f29,ENGINEERING,MID,UTC+0
f951634f-5cce-4321-9640-df81f035b25e,ENGINEERING,MANAGER,UTC-5
dd085131-9f44-475d-ab3b-e417ecc3bb0f,ENGINEERING,JUNIOR,UTC-8
2b6a0ca6-e8be-4c6e-991f-5d79462957a1,ENGINEERING,JUNIOR,UTC-5
2a7f066d-4fb8-4a06-9407-ad6109eef4be,ENGINEERING,SENIOR,UTC+5:30
9bb202fe-430e-48a9-ace4-2ad783fbe567,ENGINEERING,SENIOR,UTC+5:30
b8d060a5-1b0a-48b8-8636-6586ea26291a,ENGINEERING,MANAGER,UTC-8
267b61b0-0c6e-40cc-911d-a3d320bc423b,ENGINEERING,JUNIOR,UTC-5
55748209-f3c0-458d-affd-856d5d2092ac,ENGINEERING,SENIOR,UTC-5
06df8715-ddb2-4c3f-8a19-512b788ac295,ENGINEERING,MID,UTC+5:30
9af04a5c-b9ea-4f7c-a5fc-96043fa2f42c,ENGINEERING,JUNIOR,UTC+0
a4f6689e-3251-4e53-8bcd-42077d81bff7,ENGINEERING,SENIOR,UTC+5:30
51bc931e-7df6-4b15-96b3-f9a22d31881c,ENGINEERING,LEAD,UTC+5:30
e4919619-5091-4adf-a37f-2d7efbf3ab86,ENGINEERING,MID,UTC-8
a3a5893d-7468-4dc5-be56-1ed668a269c9,ENGINEERING,SENIOR,UTC-5
d07951d8-d260-4027-9eed-ecbf28a44ec0,ENGINEERING,JUNIOR,UTC-5
d7a4e004-1dca-4f1b-9e3d-d49edb6643ef,ENGINEERING,MID,UTC-5
f24b5a20-c23b-4815-a2bb-cff5debb7d79,ENGINEERING,SENIOR,UTC+5:30
87746b02-4950-4edf-8b7a-260824f6d2b3,ENGINEERING,SENIOR,UTC+0
01916bac-70cb-424b-a117-3a0e6e16d7b9,ENGINEERING,MID,UTC+0
1bbf9f0a-5f86-48c8-983e-584efee7a98c,ENGINEERING,JUNIOR,UTC-8
2acef363-4395-48bd-b36a-03e54ab5a1bd,ENGINEERING,MID,UTC+0
5485d680-4df8-46ba-b991-f9c1d4987ccd,ENGINEERING,SENIOR,UTC+5:30
e89893ac-604e-46b1-ba20-53370ff6493b,PRODUCT,MANAGER,UTC+5:30
4104713f-a469-4f59-bbb1-01c3da9e9bc8,PRODUCT,SENIOR,UTC-8
e4ff31ca-ea02-401f-8b38-e466fb0e0ede,PRODUCT,MID,UTC+0
7dfcaaa4-04f8-4aff-a75d-9edc71367161,PRODUCT,LEAD,UTC-5
faf19c19-3cdc-4cb6-a515-825c88dcf752,PRODUCT,MID,UTC-8
faa4d344-856e-456a-bcbf-64d8dcf36547,PRODUCT,MID,UTC-8
46afa27c-6077-45a5-995c-c20a36d4c25b,PRODUCT,JUNIOR,UTC+0
0d0dd1c3-b5d0-4b4e-9844-8bbd91744a0e,PRODUCT,MID,UTC-5
4dad4fe0-16da-473e-abab-e56955674ab3,PRODUCT,SENIOR,UTC-8
bc77ec85-8e5d-4566-91b5-ad0f82b871dd,PRODUCT,LEAD,UTC-8
78a9afaa-3a32-46fc-a886-0595f98de482,PRODUCT,MID,UTC+0
3a12fc0e-4f58-4e16-9c53-6d5b90711687,PRODUCT,MID,UTC+5:30
9b230649-1247-490f-96d0-0c5f5fec4e55,PRODUCT,SENIOR,UTC+5:30
1d9e8d92-59ea-4dfe-ad6f-82f13c5d8c3f,PRODUCT,JUNIOR,UTC+0
81a7a377-e188-4b18-9d48-205d554696e7,PRODUCT,SENIOR,UTC-8
5a3a3d90-c2de-4daa-953e-27a902926e80,PRODUCT,MID,UTC-8
4e2d66bf-8f4d-4217-ae5b-f47fa8765890,PRODUCT,MID,UTC-8
6c14ce8c-0359-4912-837d-828281134085,PRODUCT,MID,UTC+5:30
bae4d2c5-3330-486c-81e0-b34e9903a3ab,DATA,SENIOR,UTC+5:30
0c8a272d-82b6-4ca1-a1a5-efe342bdea81,DATA,SENIOR,UTC-5
e5da74dc-3f94-48fe-bd52-2cda8a57f6bc,DATA,SENIOR,UTC-5
e8bbe059-238c-4865-ab69-359f72d69f97,DATA,JUNIOR,UTC-8
c2dd9fec-95da-454b-9205-7b3b37a47e28,DATA,JUNIOR,UTC+5:30
bcd328e7-bb01-49ed-8b04-84356bd8003c,DATA,MANAGER,UTC-5
c562c4b1-c1dd-4517-a0f8-da2a0cba7f4c,DATA,MANAGER,UTC+0
2327ca37-e782-47fa-91ed-8ae84675e2d6,DATA,MID,UTC+5:30
